P2P_Bandwidth_Gbps,DDP_s,LocalAdam_s,DES_LOC_s,FAVG_OPT_s,Neuron_SP_s,ZeROpp_75pct_s,DS_AR_opt_75pct_1.2x_s,DS_MoE_91pct_3.2x_s,LocalSGD_K16_93.8pct_s,SlowMo_K12_91.7pct_s,BytePS_TopK_99.9pct_s,JAX_SPMD_50pct_1.15x_s,Flux_overlap_0pct_1.25x_s
4.399500e-04,1.8535e+11,2.1717e+09,1.0807e+09,1.0807e+09,6.0579e+08,4.7511e+10,4.7511e+10,1.7104e+10,1.1878e+10,1.5774e+10,1.9027e+08,9.5022e+10,1.9004e+11
4.442900e-04,1.8406e+11,2.1493e+09,1.0657e+09,1.0693e+09,5.9735e+08,4.7047e+10,4.7047e+10,1.6937e+10,1.1762e+10,1.5620e+10,1.8841e+08,9.4094e+10,1.8819e+11
4.486700e-04,1.8277e+11,2.1193e+09,1.0508e+09,1.0618e+09,5.8902e+08,4.6588e+10,4.6588e+10,1.6772e+10,1.1647e+10,1.5467e+10,1.8657e+08,9.3176e+10,1.8635e+11
4.531000e-04,1.8039e+11,2.1025e+09,1.0362e+09,1.0544e+09,5.8081e+08,4.6132e+10,4.6132e+10,1.6608e+10,1.1533e+10,1.5316e+10,1.8475e+08,9.2265e+10,1.8453e+11
4.575700e-04,1.7820e+11,2.0878e+09,1.0254e+09,1.0451e+09,5.7477e+08,4.5682e+10,4.5682e+10,1.6445e+10,1.1421e+10,1.5166e+10,1.8295e+08,9.1363e+10,1.8273e+11
4.620800e-04,1.7695e+11,2.0732e+09,1.0254e+09,1.0306e+09,5.7477e+08,4.5236e+10,4.5236e+10,1.6285e+10,1.1309e+10,1.5018e+10,1.8116e+08,9.0472e+10,1.8094e+11
4.666400e-04,1.7492e+11,2.0495e+09,1.0208e+09,1.0208e+09,5.7219e+08,4.4794e+10,4.4794e+10,1.6126e+10,1.1199e+10,1.4872e+10,1.7940e+08,8.9587e+10,1.7917e+11
4.712400e-04,1.7252e+11,2.0214e+09,1.0138e+09,1.0134e+09,5.6827e+08,4.4357e+10,4.4357e+10,1.5968e+10,1.1089e+10,1.4727e+10,1.7765e+08,8.8713e+10,1.7743e+11
4.758900e-04,1.7132e+11,2.0072e+09,1.0114e+09,9.9932e+08,5.6694e+08,4.3923e+10,4.3923e+10,1.5812e+10,1.0981e+10,1.4583e+10,1.7591e+08,8.7846e+10,1.7569e+11
4.805900e-04,1.6962e+11,1.9874e+09,1.0022e+09,8.8955e+08,5.6177e+08,4.3494e+10,4.3494e+10,1.5658e+10,1.0874e+10,1.4440e+10,1.7419e+08,8.6987e+10,1.7397e+11
4.853300e-04,1.6726e+11,1.9597e+09,9.8362e+08,6.8617e+08,5.5136e+08,4.3069e+10,4.3069e+10,1.5505e+10,1.0767e+10,1.4299e+10,1.7250e+08,8.6137e+10,1.7227e+11
4.901200e-04,1.6586e+11,1.9433e+09,9.7561e+08,6.4846e+08,5.4687e+08,4.2648e+10,4.2648e+10,1.5353e+10,1.0662e+10,1.4159e+10,1.7081e+08,8.5296e+10,1.7059e+11
4.949500e-04,1.6470e+11,1.9297e+09,9.6833e+08,6.4306e+08,5.4279e+08,4.2232e+10,4.2232e+10,1.5203e+10,1.0558e+10,1.4021e+10,1.6915e+08,8.4463e+10,1.6893e+11
4.998400e-04,1.6355e+11,1.9162e+09,9.5350e+08,6.3410e+08,5.3447e+08,4.1819e+10,4.1819e+10,1.5055e+10,1.0455e+10,1.3884e+10,1.6749e+08,8.3637e+10,1.6727e+11
5.047700e-04,1.6175e+11,1.9028e+09,9.4093e+08,6.2781e+08,5.2743e+08,4.1410e+10,4.1410e+10,1.4908e+10,1.0353e+10,1.3748e+10,1.6586e+08,8.2820e+10,1.6564e+11
5.097500e-04,1.5949e+11,1.8895e+09,9.2999e+08,6.2342e+08,5.2129e+08,4.1006e+10,4.1006e+10,1.4762e+10,1.0252e+10,1.3614e+10,1.6424e+08,8.2011e+10,1.6402e+11
5.147800e-04,1.5834e+11,1.8636e+09,9.2752e+08,6.1906e+08,5.1991e+08,4.0605e+10,4.0605e+10,1.4618e+10,1.0151e+10,1.3481e+10,1.6264e+08,8.1210e+10,1.6242e+11
5.198500e-04,1.5723e+11,1.8377e+09,9.2154e+08,6.1321e+08,5.1656e+08,4.0209e+10,4.0209e+10,1.4475e+10,1.0052e+10,1.3349e+10,1.6106e+08,8.0418e+10,1.6084e+11
5.249800e-04,1.5613e+11,1.8121e+09,9.0870e+08,6.0467e+08,5.0936e+08,3.9816e+10,3.9816e+10,1.4334e+10,9.9541e+09,1.3219e+10,1.5948e+08,7.9632e+10,1.5926e+11
5.301600e-04,1.5424e+11,1.7961e+09,9.0070e+08,5.9935e+08,5.0488e+08,3.9427e+10,3.9427e+10,1.4194e+10,9.8569e+09,1.3090e+10,1.5793e+08,7.8854e+10,1.5771e+11
5.353900e-04,1.5215e+11,1.7836e+09,8.9361e+08,5.9462e+08,5.0090e+08,3.9042e+10,3.9042e+10,1.4055e+10,9.7606e+09,1.2962e+10,1.5639e+08,7.8083e+10,1.5617e+11
5.406700e-04,1.5045e+11,1.7711e+09,8.8116e+08,5.8634e+08,4.9392e+08,3.8661e+10,3.8661e+10,1.3918e+10,9.6653e+09,1.2835e+10,1.5486e+08,7.7321e+10,1.5464e+11
5.460100e-04,1.4941e+11,1.7524e+09,8.6888e+08,5.8026e+08,4.8704e+08,3.8282e+10,3.8282e+10,1.3782e+10,9.5708e+09,1.2710e+10,1.5335e+08,7.6565e+10,1.5313e+11
5.513900e-04,1.4899e+11,1.7280e+09,8.5677e+08,5.7620e+08,4.8025e+08,3.7909e+10,3.7909e+10,1.3647e+10,9.4774e+09,1.2586e+10,1.5186e+08,7.5818e+10,1.5164e+11
5.568300e-04,1.4615e+11,1.7147e+09,8.4483e+08,5.7218e+08,4.7356e+08,3.7539e+10,3.7539e+10,1.3514e+10,9.3848e+09,1.2463e+10,1.5037e+08,7.5077e+10,1.5015e+11
5.623300e-04,1.4398e+11,1.7027e+09,8.3645e+08,5.6702e+08,4.6886e+08,3.7171e+10,3.7171e+10,1.3382e+10,9.2930e+09,1.2341e+10,1.4891e+08,7.4343e+10,1.4869e+11
5.678800e-04,1.4398e+11,1.6908e+09,8.3645e+08,5.5912e+08,4.6886e+08,3.6808e+10,3.6808e+10,1.3251e+10,9.2022e+09,1.2220e+10,1.4745e+08,7.3616e+10,1.4723e+11
5.734800e-04,1.4262e+11,1.6710e+09,8.3645e+08,5.5395e+08,4.6886e+08,3.6449e+10,3.6449e+10,1.3122e+10,9.1123e+09,1.2101e+10,1.4602e+08,7.2897e+10,1.4579e+11
5.791400e-04,1.4063e+11,1.6485e+09,8.3595e+08,5.5008e+08,4.6858e+08,3.6092e+10,3.6092e+10,1.2993e+10,9.0233e+09,1.1983e+10,1.4459e+08,7.2185e+10,1.4437e+11
5.848500e-04,1.3868e+11,1.6370e+09,8.2817e+08,5.4624e+08,4.6422e+08,3.5740e+10,3.5740e+10,1.2866e+10,8.9352e+09,1.1866e+10,1.4318e+08,7.1480e+10,1.4296e+11
5.906200e-04,1.3718e+11,1.6255e+09,8.1700e+08,5.4070e+08,4.5796e+08,3.5391e+10,3.5391e+10,1.2741e+10,8.8479e+09,1.1750e+10,1.4178e+08,7.0782e+10,1.4156e+11
5.964500e-04,1.3622e+11,1.6142e+09,8.0186e+08,5.3317e+08,4.4947e+08,3.5045e+10,3.5045e+10,1.2616e+10,8.7614e+09,1.1635e+10,1.4040e+08,7.0090e+10,1.4018e+11
6.023300e-04,1.3526e+11,1.5935e+09,7.9241e+08,5.2884e+08,4.4418e+08,3.4703e+10,3.4703e+10,1.2493e+10,8.6759e+09,1.1521e+10,1.3903e+08,6.9406e+10,1.3881e+11
6.082700e-04,1.3432e+11,1.5713e+09,7.8785e+08,5.2514e+08,4.4162e+08,3.4364e+10,3.4364e+10,1.2371e+10,8.5912e+09,1.1409e+10,1.3768e+08,6.8728e+10,1.3746e+11
6.142700e-04,1.3338e+11,1.5494e+09,7.8785e+08,5.2147e+08,4.4162e+08,3.4028e+10,3.4028e+10,1.2250e+10,8.5072e+09,1.1298e+10,1.3633e+08,6.8057e+10,1.3611e+11
6.203300e-04,1.3188e+11,1.5344e+09,7.8580e+08,5.1783e+08,4.4047e+08,3.3696e+10,3.3696e+10,1.2131e+10,8.4241e+09,1.1187e+10,1.3500e+08,6.7392e+10,1.3478e+11
6.264500e-04,1.3004e+11,1.5236e+09,7.6406e+08,5.1421e+08,4.2828e+08,3.3367e+10,3.3367e+10,1.2012e+10,8.3418e+09,1.1078e+10,1.3369e+08,6.6733e+10,1.3347e+11
6.326300e-04,1.2913e+11,1.5130e+09,7.5606e+08,5.0704e+08,4.2380e+08,3.3041e+10,3.3041e+10,1.1895e+10,8.2603e+09,1.0970e+10,1.3238e+08,6.6081e+10,1.3216e+11
6.388800e-04,1.2788e+11,1.4983e+09,7.4815e+08,4.9998e+08,4.1936e+08,3.2718e+10,3.2718e+10,1.1778e+10,8.1795e+09,1.0862e+10,1.3109e+08,6.5435e+10,1.3087e+11
6.451800e-04,1.2610e+11,1.4774e+09,7.4031e+08,4.9301e+08,4.1497e+08,3.2398e+10,3.2398e+10,1.1663e+10,8.0997e+09,1.0756e+10,1.2981e+08,6.4796e+10,1.2959e+11
6.515400e-04,1.2502e+11,1.4648e+09,7.3057e+08,4.8614e+08,4.0951e+08,3.2082e+10,3.2082e+10,1.1549e+10,8.0206e+09,1.0651e+10,1.2855e+08,6.4164e+10,1.2833e+11
6.579700e-04,1.2415e+11,1.4546e+09,7.2067e+08,4.8046e+08,4.0396e+08,3.1768e+10,3.1768e+10,1.1437e+10,7.9422e+09,1.0547e+10,1.2729e+08,6.3536e+10,1.2707e+11
6.644600e-04,1.2328e+11,1.4444e+09,7.1229e+08,4.8046e+08,3.9927e+08,3.1458e+10,3.1458e+10,1.1325e+10,7.8647e+09,1.0444e+10,1.2605e+08,6.2916e+10,1.2583e+11
6.710200e-04,1.2195e+11,1.4288e+09,7.0311e+08,4.7861e+08,3.9412e+08,3.1151e+10,3.1150e+10,1.1214e+10,7.7878e+09,1.0342e+10,1.2482e+08,6.2301e+10,1.2460e+11
6.776400e-04,1.2025e+11,1.4089e+09,6.9331e+08,4.7526e+08,3.8863e+08,3.0846e+10,3.0846e+10,1.1105e+10,7.7117e+09,1.0241e+10,1.2361e+08,6.1692e+10,1.2338e+11
6.843200e-04,1.1857e+11,1.4076e+09,6.9331e+08,4.6578e+08,3.8863e+08,3.0545e+10,3.0545e+10,1.0996e+10,7.6364e+09,1.0141e+10,1.2240e+08,6.1090e+10,1.2218e+11
6.910700e-04,1.1745e+11,1.3942e+09,6.9331e+08,4.5920e+08,3.8863e+08,3.0247e+10,3.0247e+10,1.0889e+10,7.5618e+09,1.0042e+10,1.2121e+08,6.0493e+10,1.2099e+11
6.978900e-04,1.1745e+11,1.3535e+09,6.8509e+08,4.5920e+08,3.8402e+08,2.9951e+10,2.9951e+10,1.0782e+10,7.4879e+09,9.9439e+09,1.2002e+08,5.9902e+10,1.1980e+11
7.047800e-04,1.1629e+11,1.3434e+09,6.7892e+08,4.5464e+08,3.8056e+08,2.9658e+10,2.9658e+10,1.0677e+10,7.4147e+09,9.8467e+09,1.1885e+08,5.9317e+10,1.1863e+11
7.117300e-04,1.1474e+11,1.3434e+09,6.7418e+08,4.4830e+08,3.7790e+08,2.9369e+10,2.9369e+10,1.0573e+10,7.3423e+09,9.7506e+09,1.1770e+08,5.8737e+10,1.1747e+11
7.187500e-04,1.1394e+11,1.3248e+09,6.6946e+08,4.4206e+08,3.7526e+08,2.9082e+10,2.9082e+10,1.0469e+10,7.2706e+09,9.6553e+09,1.1655e+08,5.8164e+10,1.1633e+11
7.258400e-04,1.1276e+11,1.3108e+09,6.6252e+08,4.3738e+08,3.7137e+08,2.8798e+10,2.8798e+10,1.0367e+10,7.1996e+09,9.5610e+09,1.1541e+08,5.7596e+10,1.1519e+11
7.330000e-04,1.1119e+11,1.3016e+09,6.5329e+08,4.3433e+08,3.6619e+08,2.8517e+10,2.8517e+10,1.0266e+10,7.1293e+09,9.4676e+09,1.1429e+08,5.7033e+10,1.1407e+11
7.402400e-04,1.1031e+11,1.2925e+09,6.4419e+08,4.3129e+08,3.6109e+08,2.8238e+10,2.8238e+10,1.0166e+10,7.0596e+09,9.3750e+09,1.1317e+08,5.6475e+10,1.1295e+11
7.475400e-04,1.0954e+11,1.2835e+09,6.3521e+08,4.2749e+08,3.5606e+08,2.7962e+10,2.7962e+10,1.0066e+10,6.9906e+09,9.2835e+09,1.1207e+08,5.5924e+10,1.1185e+11
7.549100e-04,1.0878e+11,1.2745e+09,6.2636e+08,4.2154e+08,3.5110e+08,2.7689e+10,2.7689e+10,9.9680e+09,6.9224e+09,9.1928e+09,1.1098e+08,5.5378e+10,1.1076e+11
7.623600e-04,1.0753e+11,1.2598e+09,6.2139e+08,4.1755e+08,3.4831e+08,2.7418e+10,2.7418e+10,9.8706e+09,6.8547e+09,9.1030e+09,1.0989e+08,5.4836e+10,1.0967e+11
7.698800e-04,1.0605e+11,1.2426e+09,6.1838e+08,4.1464e+08,3.4663e+08,2.7151e+10,2.7150e+10,9.7742e+09,6.7878e+09,9.0141e+09,1.0882e+08,5.4301e+10,1.0860e+11
7.774800e-04,1.0531e+11,1.2339e+09,6.1263e+08,4.1174e+08,3.4340e+08,2.6885e+10,2.6885e+10,9.6786e+09,6.7214e+09,8.9260e+09,1.0776e+08,5.3770e+10,1.0754e+11
7.851500e-04,1.0427e+11,1.2216e+09,6.0453e+08,4.0765e+08,3.3886e+08,2.6622e+10,2.6622e+10,9.5841e+09,6.6558e+09,8.8388e+09,1.0671e+08,5.3245e+10,1.0649e+11
7.928900e-04,1.0281e+11,1.2046e+09,5.9333e+08,4.0197e+08,3.3258e+08,2.6363e+10,2.6363e+10,9.4905e+09,6.5908e+09,8.7525e+09,1.0567e+08,5.2725e+10,1.0545e+11
8.007200e-04,1.0196e+11,1.1946e+09,5.9121e+08,3.9862e+08,3.3140e+08,2.6105e+10,2.6105e+10,9.3977e+09,6.5263e+09,8.6669e+09,1.0464e+08,5.2209e+10,1.0442e+11
8.086200e-04,1.0125e+11,1.1862e+09,5.9121e+08,3.9529e+08,3.3140e+08,2.5850e+10,2.5850e+10,9.3059e+09,6.4626e+09,8.5823e+09,1.0362e+08,5.1699e+10,1.0340e+11
8.165900e-04,1.0054e+11,1.1780e+09,5.9121e+08,3.8978e+08,3.3140e+08,2.5597e+10,2.5597e+10,9.2151e+09,6.3995e+09,8.4985e+09,1.0261e+08,5.1195e+10,1.0239e+11
8.246500e-04,9.9427e+10,1.1649e+09,5.8841e+08,3.8593e+08,3.2983e+08,2.5347e+10,2.5347e+10,9.1250e+09,6.3370e+09,8.4154e+09,1.0161e+08,5.0694e+10,1.0139e+11
8.327800e-04,9.8042e+10,1.1487e+09,5.7616e+08,3.8323e+08,3.2296e+08,2.5100e+10,2.5100e+10,9.0359e+09,6.2751e+09,8.3333e+09,1.0062e+08,5.0199e+10,1.0040e+11
8.410000e-04,9.7336e+10,1.1404e+09,5.7190e+08,3.8055e+08,3.2057e+08,2.4855e+10,2.4854e+10,8.9476e+09,6.2138e+09,8.2518e+09,9.9638e+07,4.9709e+10,9.9418e+10
8.493000e-04,9.6656e+10,1.1325e+09,5.6576e+08,3.7789e+08,3.1713e+08,2.4612e+10,2.4612e+10,8.8602e+09,6.1530e+09,8.1712e+09,9.8667e+07,4.9223e+10,9.8446e+10
8.576800e-04,9.5980e+10,1.1246e+09,5.5593e+08,3.7525e+08,3.1162e+08,2.4371e+10,2.4371e+10,8.7736e+09,6.0929e+09,8.0914e+09,9.7705e+07,4.8742e+10,9.7484e+10
8.661400e-04,9.4812e+10,1.1109e+09,5.5201e+08,3.7068e+08,3.0942e+08,2.4133e+10,2.4133e+10,8.6879e+09,6.0334e+09,8.0123e+09,9.6753e+07,4.8266e+10,9.6532e+10
8.746800e-04,9.3578e+10,1.0954e+09,5.5007e+08,3.6586e+08,3.0834e+08,2.3897e+10,2.3897e+10,8.6031e+09,5.9745e+09,7.9341e+09,9.5810e+07,4.7795e+10,9.5589e+10
8.833100e-04,9.2924e+10,1.0801e+09,5.4815e+08,3.6330e+08,3.0726e+08,2.3664e+10,2.3664e+10,8.5190e+09,5.9161e+09,7.8566e+09,9.4876e+07,4.7328e+10,9.4655e+10
8.920300e-04,9.2274e+10,1.0658e+09,5.4225e+08,3.5945e+08,3.0395e+08,2.3433e+10,2.3433e+10,8.4358e+09,5.8583e+09,7.7798e+09,9.3951e+07,4.6865e+10,9.3730e+10
9.008300e-04,9.1629e+10,1.0523e+09,5.3283e+08,3.5444e+08,2.9867e+08,2.3204e+10,2.3204e+10,8.3534e+09,5.8011e+09,7.7038e+09,9.3035e+07,4.6407e+10,9.2815e+10
9.097100e-04,9.0411e+10,1.0498e+09,5.3196e+08,3.5173e+08,2.9818e+08,2.2977e+10,2.2977e+10,8.2718e+09,5.7445e+09,7.6286e+09,9.2129e+07,4.5954e+10,9.1909e+10
9.186900e-04,8.9151e+10,1.0445e+09,5.2758e+08,3.4927e+08,2.9573e+08,2.2753e+10,2.2753e+10,8.1910e+09,5.6883e+09,7.5540e+09,9.1231e+07,4.5505e+10,9.1010e+10
9.277500e-04,8.7909e+10,1.0300e+09,5.1298e+08,3.4683e+08,2.8754e+08,2.2531e+10,2.2530e+10,8.1110e+09,5.6328e+09,7.4803e+09,9.0342e+07,4.5061e+10,9.0121e+10
9.369000e-04,8.7100e+10,1.0205e+09,5.0680e+08,3.4276e+08,2.8408e+08,2.2310e+10,2.2310e+10,8.0318e+09,5.5778e+09,7.4072e+09,8.9462e+07,4.4621e+10,8.9241e+10
9.461500e-04,8.6533e+10,1.0134e+09,5.0427e+08,3.3815e+08,2.8266e+08,2.2092e+10,2.2092e+10,7.9532e+09,5.5232e+09,7.3348e+09,8.8590e+07,4.4184e+10,8.8369e+10
9.554800e-04,8.6533e+10,1.0063e+09,4.9958e+08,3.3579e+08,2.8003e+08,2.1877e+10,2.1877e+10,7.8756e+09,5.4693e+09,7.2632e+09,8.7727e+07,4.3753e+10,8.7506e+10
