step,DDP_ratio,DES_LOC_ratio,Local_Adam_ratio,FAVG_OPT_ratio,Neuron_SP_ratio
1730.0,1.000000,1.419437,1.307474,1.335891,0.980231
1740.0,1.000000,1.419207,1.173980,1.322377,0.998648
1750.0,1.000000,1.418638,1.174153,1.322695,1.003504
1760.0,1.000000,1.418063,1.174323,1.323013,0.999870
1770.0,1.000000,1.419025,1.175252,1.322561,0.981966
1780.0,1.000000,1.420376,1.176370,1.321918,0.978121
1790.0,1.000000,1.421456,1.177265,1.321115,0.975449
1800.0,1.000000,1.420107,1.176147,1.318909,0.972535
1810.0,1.000000,1.418757,1.175030,1.316705,0.969767
1820.0,1.000000,1.421312,1.177145,1.318504,0.970585
1830.0,1.000000,1.429794,1.184170,1.326373,0.976291
1840.0,1.000000,1.438375,1.191277,1.334333,0.979138
1850.0,1.000000,1.435649,1.187112,1.331204,0.979416
1860.0,1.000000,1.430139,1.180187,1.325348,0.967807
1870.0,1.000000,1.431868,1.175126,1.320250,0.959972
1880.0,1.000000,1.497998,1.186112,1.321372,0.952956
1890.0,1.000000,1.563765,1.197035,1.322489,0.952193
1900.0,1.000000,1.605623,1.183790,1.329938,0.968264
1910.0,1.000000,1.612074,1.134167,1.346958,0.977058
1920.0,1.000000,1.618559,1.084258,1.364075,0.981984
1930.0,1.000000,1.620514,1.031263,1.373374,0.969708
1940.0,1.000000,1.620514,0.977022,1.379290,0.961867
1950.0,1.000000,1.620703,0.935898,1.383086,0.955387
1960.0,1.000000,1.622602,1.012820,1.367782,0.948086
1970.0,1.000000,1.624502,1.089744,1.352479,0.951027
1980.0,1.000000,1.626020,1.130580,1.338782,0.951579
1990.0,1.000000,1.626970,1.117284,1.327495,0.954486
2000.0,1.000000,1.627920,1.103988,1.316207,0.953336
2010.0,1.000000,1.640577,1.106835,1.323919,0.964664
2020.0,1.000000,1.658618,1.116800,1.340103,0.975993
2030.0,1.000000,1.672534,1.125702,1.355104,0.982530
2040.0,1.000000,1.645475,1.122936,1.356061,0.979642
2050.0,1.000000,1.618337,1.120159,1.357021,0.979127
2060.0,1.000000,1.594932,1.121854,1.362245,0.986651
2070.0,1.000000,1.576980,1.130372,1.374013,0.999620
2080.0,1.000000,1.558690,1.139053,1.386005,1.008948
2090.0,1.000000,1.525781,1.140954,1.387444,1.012892
2100.0,1.000000,1.486710,1.139907,1.384301,1.010328
2110.0,1.000000,1.447636,1.138964,1.380159,1.008364
2120.0,1.000000,1.408563,1.138964,1.367039,1.002201
2130.0,1.000000,1.369492,1.138964,1.353919,0.999614
2140.0,1.000000,1.348066,1.250378,1.350085,0.999644
2150.0,1.000000,1.353113,1.528912,1.360176,1.015890
2160.0,1.000000,1.358158,1.807445,1.370268,1.020295
2170.0,1.000000,1.361599,1.893685,1.380193,1.021200
2180.0,1.000000,1.364354,1.897518,1.390074,1.003022
2190.0,1.000000,1.367124,1.901369,1.400000,1.005532
2200.0,1.000000,1.367789,1.899369,1.392210,1.004698
2210.0,1.000000,1.368453,1.897370,1.384437,1.008846
2220.0,1.000000,1.369810,1.790181,1.376694,1.006866
2230.0,1.000000,1.372212,1.524826,1.368969,1.006605
2240.0,1.000000,1.374618,1.258933,1.361229,1.003350
2250.0,1.000000,1.385584,1.177481,1.356881,1.002049
2260.0,1.000000,1.400218,1.175219,1.353989,1.000470
2270.0,1.000000,1.414853,1.172959,1.351097,1.000822
2280.0,1.000000,1.429332,1.172959,1.351097,1.003478
2290.0,1.000000,1.443810,1.172959,1.351097,1.021306
2300.0,1.000000,1.449407,1.172024,1.350487,1.026336
2310.0,1.000000,1.441695,1.169691,1.348967,1.026434
2320.0,1.000000,1.433999,1.167363,1.347450,1.015107
2330.0,1.000000,1.433110,1.167375,1.344868,1.013838
2340.0,1.000000,1.435134,1.168385,1.341833,1.012389
2350.0,1.000000,1.437159,1.169398,1.338797,1.007999
2360.0,1.000000,1.438737,1.169226,1.330368,1.008574
2370.0,1.000000,1.440314,1.169055,1.321953,1.002522
2380.0,1.000000,1.441416,1.171366,1.317018,0.996831
2390.0,1.000000,1.441416,1.179463,1.320162,0.993094
2400.0,1.000000,1.441416,1.187563,1.323307,0.991440
2410.0,1.000000,1.449363,1.376600,1.336035,0.997872
2420.0,1.000000,1.460810,1.645488,1.353013,0.998792
2430.0,1.000000,1.472376,1.917128,1.370166,1.010280
2440.0,1.000000,1.474372,1.803081,1.375027,1.014928
2450.0,1.000000,1.476371,1.688562,1.379905,1.015017
2460.0,1.000000,1.477931,1.608634,1.383776,1.015033
2470.0,1.000000,1.478442,1.610357,1.385258,1.016024
2480.0,1.000000,1.478954,1.612081,1.386741,1.020711
2490.0,1.000000,1.478386,1.612599,1.373225,1.015609
2500.0,1.000000,1.477354,1.612599,1.353279,1.013557
2510.0,1.000000,1.476323,1.612599,1.333333,1.012880
2520.0,1.000000,1.470131,1.454832,1.332645,1.010661
2530.0,1.000000,1.463942,1.297065,1.331956,1.013280
2540.0,1.000000,1.459262,1.187393,1.332332,1.021174
2550.0,1.000000,1.458100,1.189945,1.335196,1.028969
2560.0,1.000000,1.456935,1.192507,1.338071,1.031085
2570.0,1.000000,1.394853,1.190374,1.338936,1.024023
2580.0,1.000000,1.306670,1.186223,1.338936,1.023185
2590.0,1.000000,1.218487,1.182073,1.338936,1.034935
2600.0,1.000000,1.217224,1.180847,1.334439,1.049362
2610.0,1.000000,1.215964,1.179624,1.329950,1.051946
2620.0,1.000000,1.215083,1.179081,1.326194,1.038722
2630.0,1.000000,1.215083,1.180116,1.324126,1.024293
2640.0,1.000000,1.215083,1.181150,1.322057,1.027670
2650.0,1.000000,1.216372,1.356252,1.323163,1.024164
2660.0,1.000000,1.218521,1.647400,1.326386,1.033180
2670.0,1.000000,1.220670,1.938547,1.329609,1.026665
2680.0,1.000000,1.221705,1.938547,1.343058,1.030085
2690.0,1.000000,1.222740,1.938547,1.356508,1.025823
2700.0,1.000000,1.224916,1.873565,1.367817,1.029397
2710.0,1.000000,1.229770,1.656071,1.374156,1.032133
2720.0,1.000000,1.234657,1.437220,1.380534,1.041014
2730.0,1.000000,1.239533,1.294425,1.378390,1.046481
2740.0,1.000000,1.244403,1.202654,1.370516,1.052713
2750.0,1.000000,1.249290,1.110481,1.362605,1.051596
2760.0,1.000000,1.247723,1.100827,1.358706,1.041049
2770.0,1.000000,1.246161,1.091214,1.354824,1.041622
2780.0,1.000000,1.245071,1.084508,1.352113,1.032811
2790.0,1.000000,1.245071,1.084508,1.352113,1.036496
2800.0,1.000000,1.245071,1.084508,1.352113,1.031979
2810.0,1.000000,1.240196,1.083858,1.352113,1.038030
2820.0,1.000000,1.232069,1.082774,1.352113,1.039676
2830.0,1.000000,1.223945,1.081691,1.352113,1.038879
2840.0,1.000000,1.218207,1.081691,1.352113,1.036762
2850.0,1.000000,1.212469,1.081691,1.352113,1.034698
2860.0,1.000000,1.208830,1.082030,1.352225,1.032468
2870.0,1.000000,1.210091,1.083158,1.352590,1.040094
2880.0,1.000000,1.211356,1.084291,1.352959,1.042945
2890.0,1.000000,1.215273,1.090509,1.351666,1.042471
2900.0,1.000000,1.220974,1.100148,1.349255,1.035114
2910.0,1.000000,1.226700,1.109826,1.346835,1.035799
2920.0,1.000000,1.233172,1.191433,1.349541,1.040680
2930.0,1.000000,1.239730,1.281031,1.352819,1.032394
2940.0,1.000000,1.244241,1.343326,1.356894,1.027481
2950.0,1.000000,1.243984,1.341914,1.362823,1.019280
2960.0,1.000000,1.243728,1.340506,1.368741,1.024035
2970.0,1.000000,1.245669,1.340788,1.374488,1.019025
2980.0,1.000000,1.249080,1.342197,1.380136,1.018710
2990.0,1.000000,1.252499,1.343610,1.385797,1.023927
3000.0,1.000000,1.253823,1.286802,1.369645,1.027827
3010.0,1.000000,1.254917,1.223527,1.351070,1.029863
3020.0,1.000000,1.255600,1.179105,1.337330,1.023190
3030.0,1.000000,1.255332,1.178671,1.334873,1.027766
3040.0,1.000000,1.255064,1.178237,1.332422,1.030783
3050.0,1.000000,1.254957,1.179414,1.331444,1.036949
3060.0,1.000000,1.254957,1.181663,1.331444,1.035159
3070.0,1.000000,1.254957,1.183911,1.331444,1.029336
3080.0,1.000000,1.256918,1.184136,1.330463,1.025371
3090.0,1.000000,1.259097,1.184136,1.329375,1.024745
3100.0,1.000000,1.261494,1.184343,1.330142,1.030538
3110.0,1.000000,1.264402,1.185034,1.335252,1.031462
3120.0,1.000000,1.267316,1.185728,1.340379,1.031866
3130.0,1.000000,1.269771,1.187207,1.345691,1.036061
3140.0,1.000000,1.271918,1.189214,1.351135,1.039270
3150.0,1.000000,1.274072,1.191228,1.356596,1.040403
3160.0,1.000000,1.303349,1.208612,1.369737,1.038182
3170.0,1.000000,1.335968,1.227898,1.383871,1.046838
3180.0,1.000000,1.362542,1.302565,1.395967,1.050119
3190.0,1.000000,1.363656,1.597992,1.399355,1.052891
3200.0,1.000000,1.364770,1.893421,1.402743,1.060394
3210.0,1.000000,1.365217,2.011593,1.410014,1.069206
3220.0,1.000000,1.365217,2.011593,1.419877,1.074878
3230.0,1.000000,1.365217,2.011593,1.429738,1.061029
3240.0,1.000000,1.366182,1.726301,1.420928,1.062218
3250.0,1.000000,1.367256,1.409311,1.410044,1.061113
3260.0,1.000000,1.367893,1.150487,1.399004,1.061012
3270.0,1.000000,1.366779,1.124332,1.387343,1.053665
3280.0,1.000000,1.365663,1.098180,1.375679,1.042869
3290.0,1.000000,1.345250,1.086972,1.370370,1.042275
3300.0,1.000000,1.311970,1.085727,1.369297,1.043817
3310.0,1.000000,1.278691,1.084482,1.368223,1.043548
3320.0,1.000000,1.275363,1.079856,1.367149,1.045730
3330.0,1.000000,1.275363,1.074855,1.366076,1.038539
3340.0,1.000000,1.275139,1.070775,1.364770,1.039722
3350.0,1.000000,1.274023,1.070380,1.362542,1.034853
3360.0,1.000000,1.272909,1.069985,1.360312,1.028431
3370.0,1.000000,1.271819,1.070558,1.355556,1.026348
3380.0,1.000000,1.270746,1.071772,1.349114,1.041731
3390.0,1.000000,1.269672,1.072987,1.342673,1.053655
3400.0,1.000000,1.283851,1.084247,1.342360,1.061869
3410.0,1.000000,1.299754,1.096649,1.342730,1.046642
3420.0,1.000000,1.315082,1.174565,1.344895,1.033765
3430.0,1.000000,1.328021,1.515329,1.354274,1.026248
3440.0,1.000000,1.341018,1.857565,1.363697,1.026466
3450.0,1.000000,1.347616,2.029241,1.372358,1.031544
3460.0,1.000000,1.347777,2.029241,1.380230,1.030652
3470.0,1.000000,1.347937,2.029241,1.388103,1.029270
3480.0,1.000000,1.351220,2.031218,1.395120,1.030866
3490.0,1.000000,1.354855,2.033423,1.402062,1.030367
3500.0,1.000000,1.358066,1.969364,1.405324,1.028544
3510.0,1.000000,1.359543,1.639804,1.393802,1.028975
3520.0,1.000000,1.361024,1.309528,1.382254,1.030541
3530.0,1.000000,1.359660,1.141695,1.374351,1.049560
3540.0,1.000000,1.355468,1.136865,1.370123,1.049277
3550.0,1.000000,1.351294,1.132057,1.365916,1.043591
3560.0,1.000000,1.321964,1.131581,1.364524,1.024651
3570.0,1.000000,1.289836,1.131581,1.363441,1.022852
3580.0,1.000000,1.264133,1.131581,1.362357,1.028141
3590.0,1.000000,1.264133,1.131581,1.361274,1.026579
3600.0,1.000000,1.264133,1.131581,1.360191,1.028640
3610.0,1.000000,1.264820,1.131581,1.358567,1.027386
3620.0,1.000000,1.266191,1.131581,1.356401,1.027201
3630.0,1.000000,1.267563,1.131581,1.354235,1.026048
3640.0,1.000000,1.266998,1.132479,1.352004,1.033177
3650.0,1.000000,1.265947,1.133605,1.349754,1.036216
3660.0,1.000000,1.272406,1.202082,1.349850,1.033255
3670.0,1.000000,1.309134,1.542184,1.359384,1.028534
3680.0,1.000000,1.346266,1.886015,1.369027,1.034248
3690.0,1.000000,1.364219,2.057086,1.376221,1.037511
3700.0,1.000000,1.362689,2.052579,1.380874,1.043296
3710.0,1.000000,1.361168,2.048091,1.385506,1.042366
3720.0,1.000000,1.360865,2.047196,1.392783,1.039866
3730.0,1.000000,1.360865,2.047196,1.400726,1.039678
3740.0,1.000000,1.361010,2.047196,1.405246,1.039228
3750.0,1.000000,1.361738,2.047196,1.396078,1.038824
3760.0,1.000000,1.362468,2.047196,1.386910,1.033370
3770.0,1.000000,1.362831,1.894789,1.379263,1.030857
3780.0,1.000000,1.362831,1.589971,1.373135,1.034311
3790.0,1.000000,1.362831,1.285153,1.367007,1.033395
3800.0,1.000000,1.361923,1.223281,1.365781,1.031310
3810.0,1.000000,1.360789,1.222146,1.365781,1.026014
3820.0,1.000000,1.354574,1.221771,1.366378,1.023118
3830.0,1.000000,1.327965,1.224448,1.369372,1.023840
3840.0,1.000000,1.301241,1.227137,1.372379,1.028925
3850.0,1.000000,1.289802,1.229838,1.375399,1.033327
3860.0,1.000000,1.293749,1.232550,1.378433,1.041394
3870.0,1.000000,1.297712,1.235273,1.381477,1.042570
3880.0,1.000000,1.299657,1.236914,1.378002,1.062966
3890.0,1.000000,1.301097,1.238285,1.372883,1.065930
3900.0,1.000000,1.302510,1.239635,1.368148,1.067789
3910.0,1.000000,1.303661,1.240786,1.366995,1.049725
3920.0,1.000000,1.304811,1.241939,1.365844,1.044236
3930.0,1.000000,1.316654,1.397981,1.366583,1.043540
3940.0,1.000000,1.339221,1.709431,1.369210,1.043867
3950.0,1.000000,1.361837,2.021574,1.371845,1.040563
3960.0,1.000000,1.368145,2.084082,1.375930,1.038031
3970.0,1.000000,1.370370,2.084082,1.380380,1.038186
3980.0,1.000000,1.372372,2.084082,1.385193,1.045765
3990.0,1.000000,1.372372,2.084082,1.393278,1.046057
4000.0,1.000000,1.372372,2.084082,1.401361,1.041268
4010.0,1.000000,1.372372,1.917790,1.423200,1.030966
4020.0,1.000000,1.372372,1.585206,1.458792,1.026577
4030.0,1.000000,1.372372,1.252621,1.494383,1.030695
4040.0,1.000000,1.372706,1.185338,1.548259,1.037924
4050.0,1.000000,1.373121,1.184373,1.606821,1.043679
4060.0,1.000000,1.373057,1.183639,1.662147,1.069815
4070.0,1.000000,1.368684,1.185014,1.687276,1.084094
4080.0,1.000000,1.364300,1.186389,1.712460,1.088361
4090.0,1.000000,1.360508,1.184324,1.726754,1.065522
4100.0,1.000000,1.357310,1.178817,1.730111,1.053846
4110.0,1.000000,1.354114,1.173307,1.733469,1.057697
4120.0,1.000000,1.351054,1.172790,1.732826,1.064117
4130.0,1.000000,1.348045,1.173522,1.731196,1.063871
4140.0,1.000000,1.345233,1.174174,1.729952,1.053323
4150.0,1.000000,1.344121,1.174174,1.732175,1.045492
4160.0,1.000000,1.343008,1.174174,1.734400,1.039044
4170.0,1.000000,1.340336,1.179636,1.754726,1.043997
4180.0,1.000000,1.335333,1.193267,1.802130,1.039476
4190.0,1.000000,1.330338,1.206864,1.849419,1.061696
4200.0,1.000000,1.327565,1.257485,1.891601,1.067459
4210.0,1.000000,1.325347,1.317365,1.932523,1.070640
4220.0,1.000000,1.324179,1.371631,1.971931,1.050632
4230.0,1.000000,1.332437,1.375375,1.997696,1.046899
4240.0,1.000000,1.340713,1.379128,2.023520,1.041722
4250.0,1.000000,1.349029,1.490179,2.038596,1.039766
4260.0,1.000000,1.357399,1.762609,2.037482,1.044778
4270.0,1.000000,1.365788,2.035671,2.036366,1.045291
4280.0,1.000000,1.367469,1.821730,2.009370,1.046496
4290.0,1.000000,1.367469,1.485943,1.975903,1.032592
4300.0,1.000000,1.367007,1.183754,1.945887,1.030720
4310.0,1.000000,1.362391,1.183959,1.946943,1.023593
4320.0,1.000000,1.357764,1.184167,1.948002,1.034564
4330.0,1.000000,1.349595,1.183741,1.946342,1.041443
4340.0,1.000000,1.336135,1.182366,1.940602,1.049887
4350.0,1.000000,1.322712,1.180997,1.934879,1.040973
4360.0,1.000000,1.318855,1.179671,1.929336,1.046293
4370.0,1.000000,1.317386,1.178357,1.923847,1.047529
4380.0,1.000000,1.316215,1.177310,1.918801,1.049291
4390.0,1.000000,1.317680,1.178621,1.917597,1.037160
4400.0,1.000000,1.319147,1.179933,1.916386,1.033623
4410.0,1.000000,1.323543,1.181696,1.915625,1.038622
4420.0,1.000000,1.332340,1.184134,1.915530,1.037920
4430.0,1.000000,1.341158,1.186577,1.915436,1.044961
4440.0,1.000000,1.342901,1.434475,1.920973,1.042739
4450.0,1.000000,1.341602,1.788965,1.928957,1.048013
4460.0,1.000000,1.342001,2.109423,1.937184,1.045820
4470.0,1.000000,1.357763,2.109423,1.947317,1.049191
4480.0,1.000000,1.373524,2.109423,1.957449,1.053450
4490.0,1.000000,1.382529,2.109423,1.966228,1.055539
4500.0,1.000000,1.381403,2.109423,1.972984,1.052426
4510.0,1.000000,1.380277,2.109423,1.979737,1.055144
4520.0,1.000000,1.379122,1.850169,1.972762,1.054979
4530.0,1.000000,1.377953,1.479808,1.959903,1.056326
4540.0,1.000000,1.376787,1.145635,1.946865,1.067558
4550.0,1.000000,1.375661,1.137162,1.932232,1.077510
4560.0,1.000000,1.374536,1.128691,1.917597,1.079983
4570.0,1.000000,1.372794,1.122497,1.907957,1.069704
4580.0,1.000000,1.370127,1.119725,1.905812,1.055948
4590.0,1.000000,1.367465,1.116957,1.903672,1.058208
